Sigla,Código,Meso-região,1950,1980,2010
AC,1201,Vale do Juruá,50503,105777,206084
AC,1202,Vale do Acre,64252,195499,527475
AL,2701,Sertão Alagoano,184696,315923,432667
AL,2702,Agreste Alagoano,196055,453509,623302
AL,2703,Leste Alagoano,712386,1213483,2064525
AM,1301,Norte Amazonense,19119,49403,121337
AM,1302,Sudoeste Amazonense,82672,163811,351939
AM,1303,Centro Amazonense,313382,1052803,2726732
AM,1304,Sul Amazonense,98926,164511,283977
AP,1601,Norte do Amapá,11778,17373,53934
AP,1602,Sul do Amapá,25699,157885,615592
BA,2901,Extremo Oeste Baiano,179347,345927,579253
BA,2902,Vale São-Franciscano da Bahia,300342,631596,964405
BA,2903,Centro Norte Baiano,837209,1590455,2226300
BA,2904,Nordeste Baiano,615423,1089708,1545922
BA,2905,Metropolitana de Salvador,914076,2361515,4210499
BA,2906,Centro Sul Baiano,1267390,1901887,2478787
BA,2907,Sul Baiano,720788,1534304,2011740
CE,2301,Noroeste Cearense,572935,902503,1326771
CE,2302,Norte Cearense,434935,672581,1006582
CE,2303,Metropolitana de Fortaleza,413108,1627050,3468137
CE,2304,Sertões Cearenses,451871,773234,869778
CE,2305,Jaguaribe,237213,387827,528274
CE,2306,Centro-Sul Cearense,191716,306177,376239
CE,2307,Sul Cearense,393672,619057,876600
DF,5301,Distrito Federal,,1176908,2570160
ES,3201,Noroeste Espírito-santense,218631,363320,413065
ES,3202,Litoral Norte Espírito-santense,118415,320837,548850
ES,3203,Central Espírito-santense,273326,955452,1987103
ES,3204,Sul Espírito-santense,346866,383729,565934
GO,5201,Noroeste Goiano,136444,196848,220541
GO,5202,Norte Goiano,49597,238423,294110
GO,5203,Centro Goiano,325924,1571958,3056794
GO,5204,Leste Goiano,129604,328653,1159722
GO,5205,Sul Goiano,369312,785243,1272621
MA,2101,Norte Maranhense,615475,1425215,2605412
MA,2102,Oeste Maranhense,59867,733355,1409940
MA,2103,Centro Maranhense,240288,734298,915039
MA,2104,Leste Maranhense,560287,934489,1336005
MA,2105,Sul Maranhense,107331,169087,308393
MG,3101,Noroeste de Minas,118173,278914,366418
MG,3102,Norte de Minas,611153,1127127,1610413
MG,3103,Jequitinhonha,477285,604176,699413
MG,3104,Vale do Mucuri,307905,387772,385413
MG,3105,Triângulo Mineiro/Alto Paranaíba,716977,1337305,2144482
MG,3106,Central Mineira,230254,312667,412712
MG,3107,Metropolitana de Belo Horizonte,1179107,3598468,6236117
MG,3108,Vale do Rio Doce,879906,1394262,1620993
MG,3109,Oeste de Minas,416038,618946,955030
MG,3110,Sul/Sudoeste de Minas,1256103,1667651,2438611
MG,3111,Campo das Vertentes,259873,413851,554354
MG,3112,Zona da Mata,1329414,1638966,2173374
MS,5001,Pantanais Sul Mato-grossense,75847,182157,244099
MS,5002,Centro Norte de Mato Grosso do Sul,84148,416408,991025
MS,5003,Leste de Mato Grosso do Sul,48306,212720,381394
MS,5004,Sudoeste de Mato Grosso do Sul,101094,558484,832506
MT,5101,Norte Mato-grossense,8207,164472,942751
MT,5102,Nordeste Mato-grossense,6628,102027,276901
MT,5103,Sudoeste Mato-grossense,5962,177765,320119
MT,5104,Centro-Sul Mato-grossense,140456,474722,1047416
MT,5105,Sudeste Mato-grossense,51396,219932,447935
PA,1501,Baixo Amazonas,153326,467422,736432
PA,1502,Marajó,153265,283029,487010
PA,1503,Metropolitana de Belém,322835,1175563,2437297
PA,1504,Nordeste Paraense,452515,1008983,1789387
PA,1505,Sudoeste Paraense,18531,104209,483411
PA,1506,Sudeste Paraense,22801,364292,1647514
PB,2501,Sertão Paraibano,462478,764450,863178
PB,2502,Borborema,181104,263526,298263
PB,2503,Agreste Paraibano,707417,996924,1213279
PB,2504,Mata Paraibana,362260,745446,1391808
PE,2601,Sertão Pernambucano,449547,781957,996830
PE,2602,São Francisco Pernambucano,95955,271873,578203
PE,2603,Agreste Pernambucano,1286821,1666418,2217600
PE,2604,Mata Pernambucana,719453,1035528,1310638
PE,2605,Metropolitana de Recife,843990,2387727,3693177
PI,2201,Norte Piauiense,269328,460343,632883
PI,2202,Centro-Norte Piauiense,382671,906084,1446398
PI,2203,Sudoeste Piauiense,181483,380967,511616
PI,2204,Sudeste Piauiense,212214,391802,519395
PR,4101,Noroeste Paranaense,,746543,678319
PR,4102,Centro Ocidental Paranaense,32948,406734,334125
PR,4103,Norte Central Paranaense,517595,1459566,2037183
PR,4104,Norte Pioneiro Paranaense,423744,571713,546224
PR,4105,Centro Oriental Paranaense,216751,472655,689279
PR,4106,Oeste Paranaense,16421,960775,1219558
PR,4107,Sudoeste Paranaense,,521269,497127
PR,4108,Centro-Sul Paranaense,245458,484245,544190
PR,4109,Sudeste Paranaense,207338,302530,404779
PR,4110,Metropolitana de Curitiba,455292,1703819,3493742
RJ,3301,Noroeste Fluminense,267245,229782,317493
RJ,3302,Norte Fluminense,381458,527590,849515
RJ,3303,Centro Fluminense,243541,354123,481357
RJ,3304,Baixadas,99486,225485,700842
RJ,3305,Sul Fluminense,260668,678243,1062237
RJ,3306,Metropolitana do Rio de Janeiro,3422247,9276408,12578485
RN,2401,Oeste Potiguar,269851,568272,826707
RN,2402,Central Potiguar,210403,299749,381846
RN,2403,Agreste Potiguar,182307,317615,426757
RN,2404,Leste Potiguar,305360,713199,1532717
RO,1101,Madeira-Guaporé,36935,168633,611689
RO,1102,Leste Rondoniense,,322392,950720
RR,1401,Norte de Roraima,17247,67017,362681
RR,1402,Sul de Roraima,869,12104,87798
RS,4301,Noroeste Rio-grandense,1112872,1905566,1946510
RS,4302,Nordeste Rio-grandense,417748,648540,1054203
RS,4303,Centro Ocidental Rio-grandense,252730,430890,536938
RS,4304,Centro Oriental Rio-grandense,452660,585851,778841
RS,4305,Metropolitana de Porto Alegre,1036556,2877991,4742302
RS,4306,Sudoeste Rio-grandense,406308,606267,723005
RS,4307,Sudeste Rio-grandense,485947,718744,912130
SC,4201,Oeste Catarinense,280199,931330,1200712
SC,4202,Norte Catarinense,269620,610697,1212843
SC,4203,Serrana,184352,349638,406741
SC,4204,Vale do Itajaí,328382,723221,1508980
SC,4205,Grande Florianópolis,182735,446281,994095
SC,4206,Sul Catarinense,315214,567125,925065
SE,2801,Sertão Sergipano,69235,152206,224691
SE,2802,Agreste Sergipano,211783,295095,446207
SE,2803,Leste Sergipano,363343,693078,1397119
SP,3501,São José do Rio Preto,689160,1040241,1569220
SP,3502,Ribeirão Preto,747315,1348482,2376360
SP,3503,Araçatuba,399061,491392,695801
SP,3504,Bauru,667602,888789,1454111
SP,3505,Araraquara,241955,450997,810926
SP,3506,Piracicaba,332478,750394,1377257
SP,3507,Campinas,645556,1927820,3785620
SP,3508,Presidente Prudente,546585,683087,848124
SP,3509,Marília,318708,327550,440058
SP,3510,Assis,319621,381005,553778
SP,3511,Itapetininga,269325,522116,824453
SP,3512,Macro Metropolitana Paulista,455127,1273426,2644519
SP,3513,Vale do Paraíba Paulista,477235,1221221,2264594
SP,3514,Litoral Sul Paulista,101657,241369,462390
SP,3515,Metropolitana de São Paulo,2923038,13494185,21154988
TO,1701,Ocidental do Tocantins,81681,527080,870586
TO,1702,Oriental do Tocantins,122360,211969,512859